model_type,model_name,pruned_on,sparsity,layer_index,total_params,nonzero_params,fraction_pruned,fraction_remaining
pruned,Llama-3.1-8b-Instruct,FBT,50pct,25,218112000,109060009,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,26,218112000,109060023,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,27,218112000,109059985,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,28,218112000,109060034,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,29,218112000,109060054,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,30,218112000,109059970,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FBT,50pct,31,218112000,109060036,0.5000,0.5000
pruned,Llama-3.1-8b-Instruct,FPR,25pct,0,218112000,163586006,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,1,218112000,163585991,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,2,218112000,163586007,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,3,218112000,163586021,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,4,218112000,163586019,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,5,218112000,163585978,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,6,218112000,163586013,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,7,218112000,163586004,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,8,218112000,163586033,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,9,218112000,163586003,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,10,218112000,163586020,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,11,218112000,163586018,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,12,218112000,163586002,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,13,218112000,163586035,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,14,218112000,163586009,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,15,218112000,163586027,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,16,218112000,163586030,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,17,218112000,163586003,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,18,218112000,163586015,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,19,218112000,163586022,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,20,218112000,163586032,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,21,218112000,163586019,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,22,218112000,163586031,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,23,218112000,163586020,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,24,218112000,163586004,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,25,218112000,163586006,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,26,218112000,163586022,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,27,218112000,163586027,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,28,218112000,163586034,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,29,218112000,163586018,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,30,218112000,163586006,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,25pct,31,218112000,163586016,0.2500,0.7500
pruned,Llama-3.1-8b-Instruct,FPR,50pct,0,218112000,109060060,0.5000,0.5000
